DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
DOWN 2
RIGHT 2
DOWN 2
LEFT 1
UP 3
RIGHT 2
